,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
2233,20181211182528,71,4,44,14,0,6,-1,0,0,0,0
2234,20181212180151,62,4,20,2,1,2,2,0,0,0,0
2235,20181212180513,65,3,43,-1,0,3,-1,0,0,0,-1
2236,20181212180513,40,1,43,-1,0,4,-1,0,0,0,-1
2237,20181212180513,60,4,43,2,0,5,-1,0,0,0,0
2238,20181212180513,60,4,43,2,0,6,-1,0,0,0,0
2239,20181212180729,70,4,43,2,0,2,-1,0,0,0,0
2240,20181212181197,85,1,56,-1,0,2,-1,60,0,0,-1
2241,20181212181398,85,4,33,5,0,2,-1,60,0,0,0
2242,20181212181510,85,4,56,5,0,2,-1,60,0,0,0
2243,20181212181510,85,4,56,5,0,3,-1,60,0,0,0
2244,20181212181538,75,4,44,2,0,2,-1,0,0,0,0
2245,20181212181584,60,1,43,-1,0,3,-1,0,0,0,-1
